"search_date","flight_date","origin","destination","destination_city","url","departure_time","arrival_time","duration","price","is_direct","origin_airport","destination_airport","checked_baggage","hand_baggage","layover_airport","layover_duration","airlines","flight_connection_company","fare_class","flight_number","equipment_type","flight_date_with_time","flight_arrival_with_time","second_flight_duration","days_until_flight","day_of_week","departure_period","flight_type","price_category","flight_id"
"2024-11-20","2024-11-29","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-29?sort=price_a","07:00","12:30","330","183.0","False","BOD","FCO","","","","","easyJet","ITA Airways","","","","2024-11-29 07:00:00","2024-11-29 12:30:00","","9.0","Friday","morning","moyen","high",""
"","","","","","","13:35","18:05","270","149.0","False","BOD","FCO","","","","","Volotea","","","","","","","","","","","moyen","high","3.1619959702263813e+18"
"","","","","","","17:55","00:55+1","420","156.0","False","BOD","FCO","","","","","Iberia","Wizz Air Malta","","","","","","","","","","long","high","5.563531765830487e+18"
"","","","","","","17:55","00:15+1","380","203.0","False","BOD","FCO","","","","","Volotea","","","","","","","","","","","long","high","6.031029503001056e+18"
"","","","","","","12:40","20:45","485","248.0","False","BOD","FCO","","","","","easyJet","Ryanair","","","","","","","","","","long","high","1.351845285965371e+18"
"","","","","","","09:05","18:10","545","257.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","Économique","","","","","160.0","","","","long","high","5.172242474664728e+18"
"","","","","","","12:30","21:15","525","261.0","False","BOD","CIA","","","BCN","385.0","Vueling","Wizz Air Malta","","","","","","140.0","","","","long","high","1.6449146685628646e+18"
"","","","","","","09:05","13:55","290","277.0","False","BOD","FCO","","","","","Iberia","","","","","","","","","","","moyen","high","1.8440873124309128e+18"
"","","","","","","15:45","20:40","295","296.0","False","BOD","FCO","","","BCN","385.0","Vueling","Wizz Air Malta","","","","","","","","","","moyen","high","4.410309387921067e+18"
"","","","","","","11:30","20:10","520","301.0","False","BOD","FCO","","","","","Volotea","ITA Airways","","","","","","","","","","long","high","5.508966714491015e+18"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","09:45","18:05","500","181.0","False","BOD","FCO","","","","","easyJet","","","","","2024-11-22 09:45:00","2024-11-22 18:05:00","","2.0","Friday","morning","long","high","4.534291894036748e+18"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","09:45","16:00","375","192.0","False","BOD","FCO","","","","","Vueling","","","","","2024-11-22 09:45:00","2024-11-22 16:00:00","","2.0","Friday","morning","long","high","3.53835809108609e+18"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","09:05","15:15","370","238.0","False","BOD","FCO","","","","","Volotea","","Économique","","","2024-11-22 09:05:00","2024-11-22 15:15:00","","2.0","Friday","morning","long","high","4.516225389508757e+18"
"2024-11-20","2024-11-22","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-22?sort=price_a","12:50","20:30","460","287.0","False","BOD","FCO","","","","","Volotea","","","","","2024-11-22 12:50:00","2024-11-22 20:30:00","","2.0","Friday","afternoon","long","high","6.120232567620479e+16"
"2024-11-20","2024-11-23","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-23?sort=price_a","10:20","17:35","435","175.0","False","BOD","FCO","","","BCN","495.0","Vueling","","Économique","","","2024-11-23 10:20:00","2024-11-23 17:35:00","","3.0","Saturday","morning","long","high","4.592212892963776e+18"
"2024-11-20","2024-11-24","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-24?sort=price_a","14:10","20:40","390","159.0","False","BOD","FCO","","","","","easyJet","","","","","2024-11-24 14:10:00","2024-11-24 20:40:00","","4.0","Sunday","afternoon","long","high","5.533437187745212e+18"
"2024-11-20","2024-11-24","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-24?sort=price_a","07:15","16:15","540","260.0","False","BOD","FCO","","","FLR","135.0","Volotea","ITA Airways","","","","2024-11-24 07:15:00","2024-11-24 16:15:00","405.0","4.0","Sunday","morning","long","high","2.250377609400023e+18"
"2024-11-20","2024-11-25","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-25?sort=price_a","16:00","20:30","270","162.0","False","BOD","FCO","","","","","Volotea","ITA Airways","","","","2024-11-25 16:00:00","2024-11-25 20:30:00","","5.0","Monday","afternoon","moyen","high","8.771134577718874e+18"
"2024-11-20","2024-11-25","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-25?sort=price_a","07:45","16:20","515","174.0","False","BOD","FCO","","","LYS","200.0","easyJet","","","","","2024-11-25 07:45:00","2024-11-25 16:20:00","315.0","5.0","Monday","morning","long","high","2.644916017374119e+18"
"2024-11-20","2024-11-25","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-25?sort=price_a","15:55","22:45","410","181.0","False","BOD","FCO","","","LYS","200.0","easyJet","","","","","2024-11-25 15:55:00","2024-11-25 22:45:00","210.0","5.0","Monday","afternoon","long","high","6.738447020703762e+18"
"2024-11-20","2024-11-26","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-26?sort=price_a","06:00","11:55","355","171.0","False","BOD","FCO","","","MAD","150.0","Iberia","","Basic","","","2024-11-26 06:00:00","2024-11-26 11:55:00","205.0","6.0","Tuesday","morning","moyen","high","4.2611542465857137e+18"
"2024-11-20","2024-11-26","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-26?sort=price_a","15:55","22:45","410","181.0","False","BOD","FCO","","","MAD","150.0","Iberia","","","","","2024-11-26 15:55:00","2024-11-26 22:45:00","260.0","6.0","Tuesday","afternoon","long","high","3.206595549935502e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","16:40","18:45","125","43.0","True","BOD","FCO","","","","","Volotea","","Économique","","","2024-11-27 16:40:00","2024-11-27 18:45:00","","7.0","Wednesday","afternoon","moyen","cheap","7.105194107976485e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","17:55","00:15+1","380","100.0","False","BOD","FCO","","","","","Volotea","","Économique","","","2024-11-27 17:55:00","2024-11-28 00:15:00","","7.0","Wednesday","evening","long","standard","7.848308468398694e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","06:50","12:35","345","108.0","False","BOD","FCO","","","","","Volotea","","","","","2024-11-27 06:50:00","2024-11-27 12:35:00","","7.0","Wednesday","morning","moyen","standard","5.217553975191215e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","06:50","12:50","360","108.0","False","BOD","FCO","","","","","easyJet","Vueling","","","","2024-11-27 06:50:00","2024-11-27 12:50:00","","7.0","Wednesday","morning","moyen","standard","1.6254484778778988e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","09:35","16:45","430","126.0","False","BOD","FCO","","","","","Volotea","","","","","2024-11-27 09:35:00","2024-11-27 16:45:00","","7.0","Wednesday","morning","long","high","8.526648671225882e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","17:55","00:55+1","420","132.0","False","BOD","FCO","","","","","Iberia","Wizz Air Malta","","","","2024-11-27 17:55:00","2024-11-28 00:55:00","","7.0","Wednesday","evening","long","high","5.84392023227386e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","12:35","19:30","415","139.0","False","BOD","FCO","","","","","Volotea","Iberia","","","","2024-11-27 12:35:00","2024-11-27 19:30:00","","7.0","Wednesday","afternoon","long","high","5.003503274852292e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","12:35","21:20","525","145.0","False","BOD","FCO","","","MAD","150.0","Iberia","","Basic","","","2024-11-27 12:35:00","2024-11-27 21:20:00","375.0","7.0","Wednesday","afternoon","long","high","8.553004978013485e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","09:35","18:10","515","162.0","False","BOD","FCO","","","MAD","150.0","Iberia","","","","","2024-11-27 09:35:00","2024-11-27 18:10:00","365.0","7.0","Wednesday","morning","long","high","6.185391019153617e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","18:00","23:10","310","171.0","False","BOD","FCO","","","","","KLM","","","","","2024-11-27 18:00:00","2024-11-27 23:10:00","","7.0","Wednesday","evening","moyen","high","1.6092871651718797e+18"
"2024-11-20","2024-11-27","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-27?sort=price_a","09:05","18:10","545","173.0","False","BOD","FCO","","","","","Iberia","","","","","2024-11-27 09:05:00","2024-11-27 18:10:00","","7.0","Wednesday","morning","long","high","1.317432772399268e+17"
"2024-11-20","2024-11-28","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-28?sort=price_a","15:45","20:40","295","128.0","False","BOD","FCO","","","","","Volotea","","","","","2024-11-28 15:45:00","2024-11-28 20:40:00","","8.0","Thursday","afternoon","moyen","high","6.4081725436414e+18"
"2024-11-20","2024-11-28","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-28?sort=price_a","17:55","00:15+1","380","136.0","False","BOD","FCO","","","","","Volotea","","","","","2024-11-28 17:55:00","2024-11-29 00:15:00","","8.0","Thursday","evening","long","high","6.911559420583759e+18"
"2024-11-20","2024-11-28","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-28?sort=price_a","12:40","20:45","485","165.0","False","BOD","FCO","","","MAD","155.0","Iberia","","Basic","","","2024-11-28 12:40:00","2024-11-28 20:45:00","330.0","8.0","Thursday","afternoon","long","high","1.3105346911104766e+17"
"2024-11-20","2024-11-28","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-28?sort=price_a","13:35","21:55","500","204.0","False","BOD","FCO","","","","","Vueling","Ryanair","","","","2024-11-28 13:35:00","2024-11-28 21:55:00","","8.0","Thursday","afternoon","long","high","8.940159377391783e+18"
"2024-11-20","2024-11-29","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-29?sort=price_a","09:45","16:45","420","166.0","False","BOD","FCO","","","","","Vueling","","","","","2024-11-29 09:45:00","2024-11-29 16:45:00","","9.0","Friday","morning","long","high","4.963947709452342e+18"
"2024-11-20","2024-11-29","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-29?sort=price_a","09:05","18:10","545","181.0","False","BOD","FCO","","","","","easyJet","","Standard","","","2024-11-29 09:05:00","2024-11-29 18:10:00","","9.0","Friday","morning","long","high","8.591241017774925e+18"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","15:30","23:35","485","65.0","False","BOD","FCO","","","AGP","220.0","Volotea","Vueling","Économique","","","2024-11-30 15:30:00","2024-11-30 23:35:00","265.0","10.0","Saturday","afternoon","long","cheap","4.01763221490948e+18"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","17:55","11:10+1","1035","106.0","False","BOD","FCO","","","AGP","220.0","Volotea","Vueling","","","","2024-11-30 17:55:00","2024-12-01 11:10:00","815.0","10.0","Saturday","evening","long","standard","2.070627625010949e+17"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","06:45","16:30","585","125.0","False","BOD","FCO","","","","","Volotea","Wizz Air Malta","","","","2024-11-30 06:45:00","2024-11-30 16:30:00","","10.0","Saturday","morning","long","high","7.475170654151902e+18"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","17:55","07:35+1","820","147.0","False","BOD","FCO","","","MAD","150.0","Iberia","","","","","2024-11-30 17:55:00","2024-12-01 07:35:00","670.0","10.0","Saturday","evening","long","high","1.78860575197321e+17"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","06:45","23:10","985","152.0","False","BOD","FCO","","","MAD","150.0","Iberia","","","","","2024-11-30 06:45:00","2024-11-30 23:10:00","835.0","10.0","Saturday","morning","long","high","9.195496834084836e+18"
"2024-11-20","2024-11-30","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-11-30?sort=price_a","10:20","20:10","590","153.0","False","BOD","CIA","","","","","Volotea","Sky Express","","","","2024-11-30 10:20:00","2024-11-30 20:10:00","","10.0","Saturday","morning","long","high","5.783898872388395e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","21:30","08:20+1","650","78.0","False","BOD","FCO","","","NCE","495.0","easyJet","","Standard","","","2024-12-01 21:30:00","2024-12-02 08:20:00","155.0","11.0","Sunday","evening","long","cheap","6.492516366501861e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","18:45","23:10","265","92.0","False","BOD","FCO","","","NCE","495.0","easyJet","","Standard","","","2024-12-01 18:45:00","2024-12-01 23:10:00","","11.0","Sunday","evening","moyen","standard","1.6066423192619064e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","11:30","16:20","290","95.0","False","BOD","FCO","","","NCE","495.0","easyJet","","Standard","","","2024-12-01 11:30:00","2024-12-01 16:20:00","","11.0","Sunday","morning","moyen","standard","1.4563133688352074e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","10:45","19:25","520","102.0","False","BOD","FCO","","","NCE","495.0","easyJet","","","","","2024-12-01 10:45:00","2024-12-01 19:25:00","25.0","11.0","Sunday","morning","long","standard","3.271258711238872e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","14:20","23:10","530","117.0","False","BOD","FCO","","","","","easyJet","Wizz Air Malta","","","","2024-12-01 14:20:00","2024-12-01 23:10:00","","11.0","Sunday","afternoon","long","high","1.3895058142122586e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","12:10","14:15","125","148.0","True","BOD","FCO","","","","","easyJet","","","","","2024-12-01 12:10:00","2024-12-01 14:15:00","","11.0","Sunday","afternoon","moyen","high","5.021269131018711e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","14:10","19:25","315","157.0","False","BOD","FCO","","","","","easyJet","Wizz Air Malta","","","","2024-12-01 14:10:00","2024-12-01 19:25:00","","11.0","Sunday","afternoon","moyen","high","1.320366992295985e+18"
"2024-11-20","2024-12-01","BOD","ROM","Rome","https://www.kayak.fr/flights/BOD-ROM/2024-12-01?sort=price_a","10:45","16:25","340","165.0","False","BOD","FCO","","","NCE","100.0","Volotea","Wizz Air Malta","Économique","","","2024-12-01 10:45:00","2024-12-01 16:25:00","240.0","11.0","Sunday","morning","moyen","high","3.884518933289587e+18"
